taxonID,scientificName
58505,Polites origenes
81559,Epargyreus clarus
52773,Poanes zabulon
58521,Euphyes dion
122363,Pyrgus scriptura
58469,Thorybes pylades
58475,Erynnis juvenalis
58513,Polites mystic
58481,Ancyloxypha numitor
58507,Poanes hobomok
58484,Thymelicus lineola
58478,Erynnis baptisiae
58506,Polites themistocles
148883,Eantis tamenund
232578,Thorybes drusius
257634,Antigonus emorsa
148800,Chioides albofasciatus
67435,Urbanus proteus
58511,Poanes viator
51311,Urbanus dorantes
229679,Pyrgus centaureae
122280,Pyrgus albescens
58510,Wallengrenia egeremet
58514,Euphyes vestris
147931,Panoquina ocola
50340,Hylephila phyleus
51349,Pyrgus communis
130474,Achlyodes pallida
232577,Thorybes confusis
142988,Lerema accius
49759,Pyrgus oileus
59193,Hesperia columbia
50071,Erynnis horatius
148862,Amblyscirtes celia
117381,Hesperia colorado
58472,Thorybes bathyllus
214670,Autochton pseudocellus
148516,Heliopetes macaira
148517,Heliopetes laviana
51765,Poanes melane
133631,Polites peckius
148520,Gesta invisus
213338,Amblyscirtes fimbriata
219499,Erynnis zarucco
59195,Lerodea eufala
69942,Phocides pigmalion
58479,Pholisora catullus
55785,Ochlodes agricola
52075,Atalopedes campestris
69743,Wallengrenia otho
59192,Polites sabuleti
59189,Erynnis tristis
59188,Erynnis funeralis
58473,Erynnis icelus
126118,Amblyscirtes hegon
122375,Carterocephalus palaemon
58509,Anatrytone logan
58474,Erynnis brizo
226361,Oligoria maculata
58516,Atrytonopsis hianna
148537,Astraptes fulgerator
132334,Urbanus procne
174535,Celotes nessus
59190,Heliopetes ericetorum
257707,Eantis thraso
126606,Panoquina panoquin
148522,Systasea pulverulenta
214593,Atrytone arogos
117372,Erynnis pacuvius
213341,Amblyscirtes nysa
148866,Amblyscirtes tolteca
117374,Hesperia juba
59187,Erynnis propertius
58495,Hesperia leonardus
117373,Erynnis persius
58518,Amblyscirtes vialis
83543,Pyrgus ruralis
53866,Calpodes ethlius
58476,Erynnis martialis
148524,Antigonus erosus
148619,Mylon pelopidas
148519,Pyrgus philetas
126162,Hesperia sassacus
148607,Timochares ruptifasciata
117376,Polites sonora
58519,Pompeius verna
148804,Cabares potrillo
148527,Atarnes sallei
202451,Copaeodes minima
293920,Mysoria affinis
127929,Achalarus lyciades
148599,Monca crispinus
257718,Epargyreus socus
143021,Xenophanes tryxus
132077,Staphylus ceos
148592,Vettius fantasos
108343,Panoquina errans
257673,Celaenorrhinus fritzgaertneri
213336,Amblyscirtes eos
204689,Poanes taxiles
129365,Apyrrothrix araxes
143767,Piruna pirus
214598,Atrytonopsis pittacus
122372,Ochlodes yuma
204771,Systasea zampa
179300,Piruna polingii
127928,Autochton cellus
257761,Phocides polybius
127304,Staphylus hayhurstii
148535,Arteurotia tractipennis
221225,Hesperia uncas
148802,Grais stigmaticus
148786,Proteides mercurius
